step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
12.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
13.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
14.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
15.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
16.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
17.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
18.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
19.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,4.0,0.0,2.0
20.0,0.0,0.0,0.0,,0,0.0,1.0,2.0,4.0,2.0,0,0.0,1.0,2.0,4.0,2.0,0,0.0,0.0,8.0,2.0,4.0
21.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,8.0,0.0,4.0
22.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,8.0,0.0,4.0
23.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,8.0,0.0,4.0
24.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,8.0,0.0,4.0
25.0,0.0,0.0,0.0,,0,0.0,1.0,2.0,6.0,2.0,0,0.0,1.0,2.0,6.0,2.0,0,0.0,0.0,12.0,2.0,6.0
26.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
27.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
28.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
29.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
30.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
31.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
32.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
33.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
34.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,0.0,12.0,0.0,6.0
35.0,0.0,0.0,0.0,,0,0.0,1.0,1.9993174823768023,7.999317482376802,1.9993174823768023,0,0.0,1.0,1.9993174823768023,7.999317482376802,1.9993174823768023,0,0.0,0.0,15.998634964753604,1.9993174823768023,7.999317482376802
36.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,0.0,15.998634964753604,0.0,7.999317482376802
37.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,0.0,15.998634964753604,0.0,7.999317482376802
38.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,0.0,15.998634964753604,0.0,7.999317482376802
39.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,1.0,0.0,7.999317482376802,0.0,0,0.0,0.0,15.998634964753604,0.0,7.999317482376802
40.0,0.0,0.0,0.0,,0,0.0,1.0,2.0,9.999317482376803,2.0,0,0.0,1.0,2.0,9.999317482376803,2.0,0,0.0,0.0,19.998634964753606,2.0,9.999317482376803
41.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,0.0,19.998634964753606,0.0,9.999317482376803
42.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,0.0,19.998634964753606,0.0,9.999317482376803
43.0,0.0,0.0,0.0,,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,0.0,19.998634964753606,0.0,9.999317482376803
